Species Name,Common name,Clade,Order,Family,ID,Accession
Chauna torquata,Southern Screamer,Aves,Anseriformes,Anhimidae,B10K-DU-011-36,VXAL00000000
Sagittarius serpentarius,Secretary-bird,Aves,Accipitriformes,Sagittariidae,B10K-DU-011-38,VWYJ00000000
Anthoscopus minutus,Cape Penduline Tit,Aves,Passeriformes,Remizidae,B10K-DU-011-42,VWYI00000000
Zapornia atra,Henderson Crake,Aves,Gruiformes,Rallidae,B10K-DU-011-47,VZTU00000000
Buphagus erythrorhynchus,Red-billed Oxpecker,Aves,Passeriformes,Buphagidae,B10K-DU-012-02,VZTT00000000
Ptilonorhynchus violaceus,Satin Bowerbird,Aves,Passeriformes,Ptilonorhynchidae,B10K-DU-012-10,VZRJ00000000
Pluvianellus socialis,Magellanic Plover,Aves,Charadriiformes,Chionidae,B10K-DU-012-14,VZTS00000000
Picathartes gymnocephalus,White-necked Rockfowl,Aves,Passeriformes,Eupetidae,B10K-DU-012-30,WEKY00000000
Upupa epops,Common Hoopoe,Aves,Bucerotiformes,Upupidae,B10K-DU-012-37,VZRI00000000
Urocynchramus pylzowi,Przevalski's Rosefinch,Aves,Passeriformes,Urocynchramidae,B10K-DU-012-38,VZRH00000000
Chaetops frenatus,Rockjumper,Aves,Passeriformes,Eupetidae,B10K-DU-012-41,VZTR00000000
Pelecanoides urinatrix,Common Diving Petrel,Aves,Procellariiformes,Procellariidae,B10K-DU-012-45,VZTQ00000000
Prunella fulvescens,Brown Accentor,Aves,Passeriformes,Prunellidae,B10K-DU-012-46,VZTP00000000
Tichodroma muraria,Wallcreeper,Aves,Passeriformes,Sittidae,B10K-DU-012-47,WAAG00000000
Brachypteracias leptosomus,Short-legged Ground-roller,Aves,Coraciiformes,Brachypteraciidae,B10K-DU-012-52,VYZX00000000
Dromas ardeola,Crab-plover,Aves,Charadriiformes,Dromadidae,B10K-DU-012-55,VYZM00000000
Balaeniceps rex,Shoebill,Aves,Pelecaniformes,Balaenicipitidae,B10K-DU-012-56,VYZW00000000
Pandion haliaetus,Osprey,Aves,Accipitriformes,Pandionidae,B10K-DU-012-58,VYZV00000000
Grus americana,Whooping Crane,Aves,Gruiformes,Gruidae,B10K-DU-012-65,WEIX00000000
Bucorvus abyssinicus,Northern Ground Hornbill,Aves,Bucerotiformes,Bucerotidae,B10K-DU-012-80,VYZL00000000
Prunella himalayana,Altai Accentor,Aves,Passeriformes,Prunellidae,B10K-DU-013-18,VYZK00000000
Ceyx cyanopectus,Indigo-banded Kingfisher,Aves,Coraciiformes,Alcedinidae,B10K-DU-013-51,VYZU00000000
Emberiza fucata,Chestnut-eared Bunting,Aves,Passeriformes,Emberizidae,B10K-DU-015-11,VYZJ00000000
Calcarius ornatus,Chestnut-collared Longspur,Aves,Passeriformes,Plectrophenacidae,B10K-DU-015-28,WBNL00000000
Centropus bengalensis,Lesser Coucal,Aves,Cuculiformes,Cuculidae,B10K-DU-017-21,WBNK00000000
Centropus unirufus,Rufous Coucal,Aves,Cuculiformes,Cuculidae,B10K-DU-017-25,VYZI00000000
Probosciger aterrimus,Palm Cockatoo,Aves,Psittaciformes,Cacatuidae,B10K-DU-017-47,VYZH00000000
Columbina picui,Picui Ground Dove,Aves,Columbiformes,Columbidae,B10K-DU-021-26,VYZG00000000
Chroicocephalus maculipennis,Brown-hooded Gull,Aves,Charadriiformes,Laridae,B10K-DU-021-33,VYZF00000000
Spizella passerina,Chipping Sparrow,Aves,Passeriformes,Passerellidae,B10K-DU-023-52,WBNQ00000000
Halcyon senegalensis,Woodland Kingfisher,Aves,Coraciiformes,Alcedinidae,B10K-DU-024-03,WBNJ00000000
Eolophus roseicapilla,Galah,Aves,Psittaciformes,Cacatuidae,B10K-DU-025-06,WBNI00000000
Pterocles burchelli,Burchell's Sandgrouse,Aves,Pterocliformes,Pteroclidae,B10K-DU-027-49,VYZE00000000
Onychorhynchus coronatus,Royal Flycatcher,Aves,Passeriformes,Onychorhynchidae,B10K-DU-028-75,VZRK00000000
Thalassarche chlororhynchos,Yellow-nosed Albatross,Aves,Procellariiformes,Diomedeidae,B10K-DU-029-24,VZTW00000000
Anhinga rufa,African Darter,Aves,Pelecaniformes,Anhingidae,B10K-DU-029-28,VZTV00000000
Orthonyx spaldingii,Chowchilla,Aves,Passeriformes,Orthonychidae,B10K-DU-029-32,VZTJ00000000
Struthidea cinerea,Apostlebird,Aves,Passeriformes,Corcoracidae,B10K-DU-029-33,VZTI00000000
Aleadryas rufinucha,Rufous-naped Bellbird,Aves,Passeriformes,Oreoicidae,B10K-DU-029-36,VZTH00000000
Melanocharis versteri,Fan-tailed Berrypecker,Aves,Passeriformes,Melanocharitidae,B10K-DU-029-37,VZTG00000000
Cnemophilus loriae,Loria's Satinbird,Aves,Passeriformes,Cnemophilidae,B10K-DU-029-38,VZTF00000000
Eulacestoma nigropectus,Wattled Ploughbill,Aves,Passeriformes,Eulacestomatidae,B10K-DU-029-39,VZTE00000000
Rhagologus leucostigma,False Whistler,Aves,Passeriformes,Rhagologidae,B10K-DU-029-40,VZTD00000000
Ifrita kowaldi,Ifrit,Aves,Passeriformes,Ifritidae,B10K-DU-029-41,VZRS00000000
