Species Name,Common name,Clade,Order,Family,ID,Accession
Homo_sapiens,Human,Mammalia,Primates,Hominidae,Homo_sapiens,GCF_000001405.39
Macaca_mulatta,Rhesus macaque,Mammalia,Primates,Cercopithecidae,Macaca_mulatta,GCF_003339765.1
Pan_troglodytes,Chimpanzee,Mammalia,Primates,Hominidae,Pan_troglodytes,GCF_002880755.1
Pongo_abelii,Sumatran orangutan,Mammalia,Primates,Hominidae,Pongo_abelii,GCF_002880775.1
Loxodonta_africana,African bush elephant,Mammalia,Proboscidea,Elephantidae,Loxodonta_africana,GCF_000001905.1
Cavia_porcellus,Guinea pig,Mammalia,Rodentia,Caviidae,Cavia_porcellus,GCF_000151735.1
Cricetulus_griseus,Chinese hamster,Mammalia,Rodentia,Cricetidae,Cricetulus_griseus,GCF_000223135.1
Dipodomys_ordii,Ord's kangaroo rat,Mammalia,Rodentia,Heteromyidae,Dipodomys_ordii,GCF_000151885.1
Heterocephalus_glaber,Naked mole-rat,Mammalia,Rodentia,Heterocephalidae,Heterocephalus_glaber,GCF_000247695.1
Ictidomys_tridecemlineatus,Thirteen-lined ground squirrel,Mammalia,Rodentia,Sciuridae,Ictidomys_tridecemlineatus,GCF_016881025.1
Mus_musculus,House mouse,Mammalia,Rodentia,Muridae,Mus_musculus,GCF_000001635.27
Rattus_norvegicus,Brown rat,Mammalia,Rodentia,Muridae,Rattus_norvegicus,GCF_015227675.2
Alligator_mississippiensis,American alligator,Reptilia,Crocodilia,Alligatoridae,Alligator_mississippiensis,GCF_000281125.3
Alligator_sinensis,Chinese alligator,Reptilia,Crocodilia,Alligatoridae,Alligator_sinensis,GCF_000455745.1
Gavialis_gangeticus,Gharial,Reptilia,Crocodilia,Gavialidae,Gavialis_gangeticus,GCF_001723915.1
Sphenodon_punctatus,Tuatara,Reptilia,Rhynchocephalia,Sphenodontidae,Sphenodon_punctatus,GCA_003113815.1
Anolis_carolinensis,Green anole,Reptilia,Squamata,Dactyloidae,Anolis_carolinensis,GCF_000090745.1
Crotalus_tigris,Tiger rattlesnake,Reptilia,Squamata,Viperidae,Crotalus_tigris,GCF_016545835.1
Gekko_japonicus,Schlegel's Japanese gecko,Reptilia,Squamata,Gekkonidae,Gekko_japonicus,GCF_001447785.1
Lacerta_agilis,Sand lizard,Reptilia,Squamata,Lacertidae,Lacerta_agilis,GCF_009819535.1
Myanophis_thanlyinensis,Mud snake,Reptilia,Squamata,Homalopsidae,Myanophis_thanlyinensis,GCA_017656035.1
Pogona_vitticeps,Central bearded dragon,Reptilia,Squamata,Agamidae,Pogona_vitticeps,GCF_900067755.1
Pseudonaja_textilis,Eastern brown snake,Reptilia,Squamata,Elapidae,Pseudonaja_textilis,GCF_900518735.1
Python_bivittatus,Burmese python,Reptilia,Squamata,Pythonidae,Python_bivittatus,GCF_000186305.1
Sceloporus_undulatus,Eastern fence lizard,Reptilia,Squamata,Phrynosomatidae,Sceloporus_undulatus,GCF_019175285.1
Thamnophis_sirtalis,Common Garter Snake,Reptilia,Squamata,Colubridae,Thamnophis_sirtalis,GCF_001077635.1
Zootoca_vivipara,Viviparous lizard,Reptilia,Squamata,Lacertidae,Zootoca_vivipara,GCF_011800845.1
Chelonia_mydas,Green sea turtle,Reptilia,Testudines,Cheloniidae,Chelonia_mydas,GCF_015237465.1
Chelydra_serpentina,Common snapping turtle,Reptilia,Testudines,Chelydridae,Chelydra_serpentina,GCA_018859375.1
Dermochelys_coriacea,Leatherback sea turtle,Reptilia,Testudines,Dermatemydidae,Dermochelys_coriacea,GCF_009764565.3
Gopherus_evgoodei,Goode's thornscrub tortoise,Reptilia,Testudines,Testudinidae,Gopherus_evgoodei,GCF_007399415.2
Mauremys_reevesii,Chinese pond turtle,Reptilia,Testudines,Geoemydidae,Mauremys_reevesii,GCF_016161935.1
Pelodiscus_sinensis,Chinese softshell turtle,Reptilia,Testudines,Trionychidae,Pelodiscus_sinensis,GCF_000230535.1
Platysternon_megacephalum,Big-headed turtle,Reptilia,Testudines,Platysternidae,Platysternon_megacephalum,GCA_003942145.1
Trachemys_scripta,Pond slider,Reptilia,Testudines,Emydidae,Trachemys_scripta,GCF_013100865.1
