ID	clade	Order	Family	Tree.name	Order.spes	Latin.name
OUT-0053	Aves	Passeriformes	Thraupidae	NESACU	Passeriformes	Nesospiza acunhae
OUT-0054	Aves	Passeriformes	Acrocephalidae	ACRARU	Passeriformes	Acrocephalus arundinaceus
OUT-0055	Aves	Gruiformes	Rallidae	ATLROG	Gruiformes	Atlantisia rogersi
OUT-0056	Aves	Passeriformes	Scotocercidae	CETCET	Passeriformes	Cettia cetti
OUT-0059	Aves	Passeriformes	Furnariidae	XIPELE	Passeriformes	Xiphorhynchus elegans
OUT-0060	Aves	Passeriformes	Corvidae	CORMON	Passeriformes	Corvus moneduloides
OUT-0061	Aves	Passeriformes	Muscicapidae	COPSEC	Passeriformes	Copsychus sechellarum
OUT-0062	Aves	Galliformes	Numididae	NUMMEL	Galliformes	Numida meleagris
Bos_taurus	Mammalia	Artiodactyla	Bovidae	Bos_taurus	Bos_taurus	Bos_taurus
Sus_scrofa	Mammalia	Artiodactyla	Suidae	Sus_scrofa	Sus_scrofa	Sus_scrofa
Canis_familiaris	Mammalia	Carnivora	Canidae	Canis_familiaris	Canis_familiaris	Canis_familiaris
Myotis_davidii	Mammalia	Chiroptera	Vespertilionidae	Myotis_davidii	Myotis_davidii	Myotis_davidii
Pteropus_alecto	Mammalia	Chiroptera	Pteropodidae	Pteropus_alecto	Pteropus_alecto	Pteropus_alecto
Monodelphis_domestica	Mammalia	Didelphimorphia	Didelphidae	Monodelphis_domestica	Monodelphis_domestica	Monodelphis_domestica
Oryctolagus_cuniculus	Mammalia	Lagomorpha	Leporidae	Oryctolagus_cuniculus	Oryctolagus_cuniculus	Oryctolagus_cuniculus
Equus_caballus	Mammalia	Perissodactyla	Equidae	Equus_caballus	Equus_caballus	Equus_caballus
Homo_sapiens	Mammalia	Primates	Hominidae	Homo_sapiens	Homo_sapiens	Homo_sapiens
Macaca_mulatta	Mammalia	Primates	Cercopithecidae	Macaca_mulatta	Macaca_mulatta	Macaca_mulatta
Pan_troglodytes	Mammalia	Primates	Hominidae	Pan_troglodytes	Pan_troglodytes	Pan_troglodytes
Pongo_abelii	Mammalia	Primates	Hominidae	Pongo_abelii	Pongo_abelii	Pongo_abelii
Loxodonta_africana	Mammalia	Proboscidea	Elephantidae	Loxodonta_africana	Loxodonta_africana	Loxodonta_africana
Cavia_porcellus	Mammalia	Rodentia	Caviidae	Cavia_porcellus	Cavia_porcellus	Cavia_porcellus
Cricetulus_griseus	Mammalia	Rodentia	Cricetidae	Cricetulus_griseus	Cricetulus_griseus	Cricetulus_griseus
Dipodomys_ordii	Mammalia	Rodentia	Heteromyidae	Dipodomys_ordii	Dipodomys_ordii	Dipodomys_ordii
Heterocephalus_glaber	Mammalia	Rodentia	Heterocephalidae	Heterocephalus_glaber	Heterocephalus_glaber	Heterocephalus_glaber
Ictidomys_tridecemlineatus	Mammalia	Rodentia	Sciuridae	Ictidomys_tridecemlineatus	Ictidomys_tridecemlineatus	Ictidomys_tridecemlineatus
Mus_musculus	Mammalia	Rodentia	Muridae	Mus_musculus	Mus_musculus	Mus_musculus
Rattus_norvegicus	Mammalia	Rodentia	Muridae	Rattus_norvegicus	Rattus_norvegicus	Rattus_norvegicus
Alligator_mississippiensis	Reptilia	Crocodilia	Alligatoridae	Alligator_mississippiensis	Alligator_mississippiensis	Alligator_mississippiensis
Alligator_sinensis	Reptilia	Crocodilia	Alligatoridae	Alligator_sinensis	Alligator_sinensis	Alligator_sinensis
Gavialis_gangeticus	Reptilia	Crocodilia	Gavialidae	Gavialis_gangeticus	Gavialis_gangeticus	Gavialis_gangeticus
Sphenodon_punctatus	Reptilia	Rhynchocephalia	Sphenodontidae	Sphenodon_punctatus	Sphenodon_punctatus	Sphenodon_punctatus
Anolis_carolinensis	Reptilia	Squamata	Dactyloidae	Anolis_carolinensis	Anolis_carolinensis	Anolis_carolinensis
Crotalus_tigris	Reptilia	Squamata	Viperidae	Crotalus_tigris	Crotalus_tigris	Crotalus_tigris
Gekko_japonicus	Reptilia	Squamata	Gekkonidae	Gekko_japonicus	Gekko_japonicus	Gekko_japonicus
Lacerta_agilis	Reptilia	Squamata	Lacertidae	Lacerta_agilis	Lacerta_agilis	Lacerta_agilis
