"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ID","significant","diffexpressed","ERVK_related"
"TAEGUT_R05849",1541.23994180675,-2.3148179799516,0.43955115212375,-5.26632217608178,1.39183936103503e-07,1.00321845403099e-06,"TAEGUT_R05849","significant","DOWN",NA
"TAEGUT_R05848",420.936984707438,1.02467188181334,0.902856625620438,1.13492203826847,0.256407985151365,0.373555350455032,"TAEGUT_R05848","NS.",NA,NA
"TAEGUT_R11281",108.813552385725,0.106256947398044,0.311476715230764,0.341139296140712,0.732998719594251,0.815526285153515,"TAEGUT_R11281","NS.",NA,NA
"TAEGUT_R01472",81.6559524588931,1.02741390513268,0.673925513775616,1.52452145545977,0.127378501372683,0.212004780363017,"TAEGUT_R01472","NS.",NA,NA
"TAEGUT_R01022",378.632094555867,-0.5607065296542,0.295665459443172,-1.89642216141913,0.0579042437272017,0.109852754040106,"TAEGUT_R01022","NS.",NA,NA
"TAEGUT_R17217",7.89069226897906,-1.94692574945298,1.59078224443622,-1.22387948209906,0.220997694799855,0.331149279951511,"TAEGUT_R17217","NS.",NA,NA
"TAEGUT_R17216",16.8841216930352,-3.74370007841222,1.78586984059326,-2.09628943460323,0.0360565234165796,0.0732967399915803,"TAEGUT_R17216","NS.",NA,NA
"TAEGUT_R17215",833.875333894997,-1.16123517333731,0.208389338894318,-5.57243081387295,2.51209266957227e-08,2.09848901377708e-07,"TAEGUT_R17215","significant","DOWN",NA
"TAEGUT_R01473",183.32038325449,1.17532028700966,0.559424101642546,2.10094681934289,0.035645634846975,0.0725465316189849,"TAEGUT_R01473","NS.",NA,NA
"TAEGUT_R17213",235.984753246106,-3.2792887120677,0.5564693250323,-5.89302691909811,3.79184606237954e-09,3.73158349337991e-08,"TAEGUT_R17213","significant","DOWN",NA
"TAEGUT_R17212",3546.53925296266,-0.183309385078169,0.323446990773545,-0.566737024325911,0.570892862281713,0.683880954050426,"TAEGUT_R17212","NS.",NA,NA
"TAEGUT_R17211",37.4849801498429,-0.463081953493072,0.862186749387806,-0.53710168223054,0.591197378867902,0.702074496249603,"TAEGUT_R17211","NS.",NA,NA
"TAEGUT_R17210",10712.0290924302,-1.81480585201486,0.522751526315149,-3.47164142170439,0.000517286785375744,0.00175514918532044,"TAEGUT_R17210","significant","DOWN",NA
"TAEGUT_R09267",773.449487211681,2.2982711420953,0.683683255222738,3.36160221058295,0.000774916708544385,0.00252420349536439,"TAEGUT_R09267","significant","UP",NA
"TAEGUT_R11375",465.999673872036,1.61161584639461,0.31413126158744,5.13038988303941,2.89142666544501e-07,1.95898008395621e-06,"TAEGUT_R11375","significant","UP",NA
