"","ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant","diffexpressed","ERVK_regulated","name"
"5002","GALGAL_R07262-TAEGUT_R04229",174.189403930549,-0.395095427084344,0.161755110679942,-2.44255297667907,0.0145837890016067,0.0223637932324778,"significant",NA,"ERVK_regulated",NA
"5003","GALGAL_R07263-TAEGUT_R18789",273.735900990129,-1.38771664121901,0.240758254342002,-5.76394211285369,8.21716090540125e-09,2.49376215516682e-08,"significant","DOWN",NA,NA
"5004","GALGAL_R07264-TAEGUT_R04230",375.156110260166,0.443219065353347,0.104818020418057,4.22846246843443,2.35293756781166e-05,5.10900525872375e-05,"significant",NA,NA,NA
"5005","GALGAL_R07266-TAEGUT_R01022",135.495777864975,-2.51795138381319,0.115176584516971,-21.8616604613951,6.02136204939657e-106,6.52422715027861e-104,"significant","DOWN",NA,NA
"5006","GALGAL_R07268-TAEGUT_R00814",17.0359437387348,0.190678290091349,0.249094345562886,0.765486224347916,0.443982066343713,0.506139555631833,"NS.",NA,NA,NA
"5007","GALGAL_R07269-TAEGUT_R00815",48.7959722371401,2.33336316493585,0.236530521178575,9.86495591904698,5.90603851487487e-23,4.34711904641371e-22,"significant","UP",NA,NA
"5008","GALGAL_R07270-TAEGUT_R00816",0.534607720023117,-0.109417512990524,1.76539465275017,-0.0619790667316633,0.950579502274355,0.961289806932958,"NS.",NA,NA,NA
"5009","GALGAL_R07272-TAEGUT_R01030",43.4426637471179,0.539969832559492,0.154890227121762,3.48614526941723,0.000490034816846464,0.000914311005617814,"significant",NA,NA,NA
"5010","GALGAL_R07273-TAEGUT_R01032",78.9340055090656,-0.654399162767784,0.247056520448421,-2.6487832079073,0.00807821331450133,0.0128293505260145,"significant",NA,NA,NA
"5011","GALGAL_R07274-TAEGUT_R04236",288.009193435505,-0.0618229424180292,0.195520988814556,-0.316195937801164,0.751853790868737,0.79383245920273,"NS.",NA,NA,NA
"5012","GALGAL_R07275-TAEGUT_R15844",261.829682739535,0.933173599704763,0.117991922019475,7.90879226080189,2.59897884825301e-15,1.25282238909575e-14,"significant",NA,NA,NA
"5013","GALGAL_R07277-TAEGUT_R00817",173.543785159201,1.37472911203417,0.326493095979055,4.21059167548941,2.54702739111621e-05,5.50459989810507e-05,"significant","UP",NA,NA
"5014","GALGAL_R07278-TAEGUT_R00818",249.838288038878,0.126598192144342,0.159099158811403,0.795718802601669,0.426195495592011,0.48808352937394,"NS.",NA,NA,NA
"5015","GALGAL_R07279-TAEGUT_R00819",16.7216862345398,-1.20709989430987,0.277349538206395,-4.35226934977474,1.34735588140175e-05,3.00403279054465e-05,"significant","DOWN",NA,NA
"5016","GALGAL_R07281-TAEGUT_R04431",5.5719483133537,-2.72198700754258,0.468984433878426,-5.80400288562284,6.475016147074e-09,1.98762172539201e-08,"significant","DOWN",NA,NA
"5017","GALGAL_R07282-TAEGUT_R00821",79.8487357491507,1.76898829356017,0.191032137031968,9.26016073025526,2.04124701517694e-20,1.33134912426969e-19,"significant","UP",NA,NA
"5018","GALGAL_R07285-TAEGUT_R00822",52.8926317718712,-0.566527997262322,0.114357825466616,-4.95399414032846,7.27053966053924e-07,1.84829381731781e-06,"significant",NA,NA,NA
